whisper	human	match	error
a	a	1	
lui	lui	1	
e	e	1	
ho	ho	1	
mangiato	mangiato	1	
quello	quello	1	
al	al	1	
caramello	caramello	1	
la	la	1	
stessa	stessa	1	
quantità	quantità	1	
che	che	1	
ha	ha	1	
mangiato	mangiato	1	
lui	lui	1	
uguale	uguale	1	
identico	identico	1	
quindi	quindi	1	
la	la	1	
cosa	cosa	1	
che	che	1	
adesso	adesso	1	
io	io	1	
sono	sono	1	
il	il	1	
porco	porco	1	
e	e	1	
tu	tu	1	
no	no	1	
lasciamo	lasciamo	1	
stare	stare	1	
_	vabbuò	0	MISS
_	comunque	0	MISS
in	in	1	
generale	generale	1	
per	per	1	
una	una	1	
giornata	giornata	1	
_	c'	1	
c'è	_	1	
_	è	1	
stata	stato	0	err_genere
tanto	tanto	1	
cibo	cibo	1	
un	un	1	
po'	po'	1	
chiatto	chiatto	1	
ma	ma	1	
è	è	1	
domenica	domenica	1	
è	è	1	
festa	festa	1	
_	eh	0	MISS
_	lo	0	MISS
_	so	0	MISS
_	però	0	MISS
lo	lo	1	
sanno	sanno	1	
tutti	tutti	1	
_	mh	0	MISS
chiediamolo	chiediamolo	1	
al	al	1	
diabetto	diabete	0	parola sconosciuta
di	di	1	
terzo	terzo	1	
tipo	tipo	1	
che	che	1	
aveva	avremo	0	err_flessione
_	tra	0	MISS
_	un	0	MISS
_	paio	0	MISS
_	di	0	MISS
_	anni	0	MISS
montrato	_	0	ADD
_	tra	0	MISS
un	un	1	
paio	paio	1	
di	di	1	
agli	anni	0	approssimazione
_	sì	0	MISS
perché	perché	1	
tutti	tutti	1	
i	i	1	
giorni	giorni	1	
mangio	mangio	1	
così	così	1	
ovviamente	ovviamente	1	
_	lite	0	MISS
_	marò	0	MISS
_	che	0	MISS
nervosamente	nervosamente	1	
mi	mi	1	
fa	fa	1	
venire	venire	1	
vabbè	vabbè	1	
ti	s'	0	err_persona
hai	_	0	ADD
_	è	0	MISS
mangiato	mangiato	1	
_	l'	1	
l'insalata	_	1	
_	insalata	1	
ieri	ieri	1	
_	eh	0	MISS
ieri	ieri	1	
ho	ho	1	
mangiato	mangiato	1	
_	l'	1	
_	insalatina	1	
l'insalatina	_	1	
_	{ride}	0	nonverbal
doveva	_	0	ADD
_	no	0	MISS
non	non	1	
mi	mi	1	
guardare	guardare	1	
così	così	1	
che	che	1	
ho	ha	0	err_persona
detto	detto	1	
devo	devo	1	
mettere	mettere	1	
_	l'	0	MISS
_	olio	0	MISS
_	dentro	0	MISS
_	vuoi	0	MISS
_	sapere	0	MISS
_	che	0	MISS
_	c'	0	MISS
_	era	0	MISS
_	nell'	0	MISS
voglio	_	0	ADD
_	insalatina	0	MISS
dentro	dentro	1	
_	l'	0	ADD
_	insalati~	0	interrupted
ci	c'	0	elisione
erano	erano	1	
i	i	1	
cubetti	cubetti	1	
_	che	0	MISS
_	c'	0	MISS
_	era	0	MISS
_	di	0	MISS
_	formaggio	0	MISS
_	e	0	MISS
_	di	0	MISS
_	salame	0	MISS
_	l'	0	MISS
_	ha	0	MISS
_	detto	0	MISS
di	di	1	
provolone	provolone	1	
_	e	0	MISS
il	i	0	err_numero
cubetti	cubetti	1	
di	di	1	
_	sa~	0	interrupted
_	e	0	MISS
_	ti	0	MISS
sembra	sembra	1	
_	un'	1	
un'insalatina	_	1	
_	isalatina	1	
questa	_	0	ADD
_	vabbè	0	MISS
è	_	0	ADD
VERO	però	0	approssimazione
_	jà	0	MISS
non	non	1	
è	è	1	
che	che	1	
è	_	0	ADD
_	ha	0	MISS
assaggerato	esagerato	0	parola sconosciuta
sono	sono	1	
degli	degli	1	
affettati	affettati	1	
con	con	1	
l'	l'	1	
insalato	insalata	0	err_genere
_	cioè	0	MISS
_	è	0	MISS
un	un	1	
pranzo	pranzo	1	
non	_	0	ADD
_	mh	0	MISS
è	_	0	ADD
_	secondo	0	MISS
che	_	0	ADD
_	me	0	MISS
non	non	1	
troppo	troppo	1	
_	allora	0	MISS
_	rosa	0	MISS
_	te	0	MISS
_	lo	0	MISS
_	giuro	0	MISS
_	ti	0	MISS - ripetizione
ti	ti	1	
fidi	fidi	1	
di	di	1	
me	me	1	
quando	quando	1	
_	ti	0	MISS - ripetizione
ti	ti	1	
dico	dico	1	
una	una	1	
cosa	cosa	1	
_	cioè	0	MISS
_	non	0	MISS
_	dic~	0	interrupted
_	non	0	MISS
_	ti	0	MISS
_	ho	0	MISS
_	mai	0	MISS
_	detto	0	MISS
_	una	0	MISS
_	bugia	0	MISS
_	in	0	MISS
_	vita	0	MISS
_	mia	0	MISS
_	a	0	MISS
_	te	0	MISS
_	cioè	0	MISS
_	non	0	MISS
_	dic~	0	interrupted
non	non	1	
ti	ti	1	
ho	ho	1	
mai	mai	1	
detto	detto	1	
una	una	1	
bugia	bugia	1	
_	in	0	MISS
_	vita	0	MISS
_	mia	0	MISS
_	a	0	MISS
_	te	0	MISS
_	allò	0	MISS
ho	ho	1	
messo	messo	1	
mezza	mezza	1	
cosa	cosa	1	
di	di	1	
iceberg	iceberg	1	
poi	poi	1	
ci	c'	0	elisione
ho	ho	1	
messo	messo	1	
quattro	quattro	1	
fette	fette	1	
_	contate	0	MISS
di	di	1	
salame	salame	1	
tagliate	tagliate	1	
a	a	1	
cubetti	cubetti	1	
mezzo	mezzo	1	
pezzo	pezzo	1	
_	di	0	MISS
_	auricchio	0	MISS
_	{ride}	0	nonverbal
_	cioè	0	MISS
di	di	1	
provolone	provolone	1	
tagliato	tagliato	1	
a	a	1	
cubetti	cubetti	1	
e	e	1	
due	due	1	
fettine	fettine	1	
di	di	1	
pane	pane	1	
tagliate	tagliate	1	
a	a	1	
cubetti	cubetti	1	
salta	saltate	0	err_flessione
dei	_	0	ADD
_	in	0	MISS
padella	padella	1	
che	che	1	
l'	le	0	elisione
fatto	fatte	0	err_genere
tipo	tipo	1	
crostino	crostino	1	
_	mh	0	MISS
basta	basta	1	
_	que~	0	interrupted
ah	ah	1	
è	e	0	approssimazione
_	una	0	MISS - ripetizione
una	una	1	
carota	carota	1	
che	che	1	
_	l'	1	
l'ho	_	1	
_	ho	1	
tagliata	tagliata	1	
piccolina	piccolina	1	
piccolina	piccolina	1	
no	_	0	ADD
_	x	0	unintelligible
secondo	secondo	1	
me	me	1	
la	la	1	
carota	carota	1	
non	non	1	
ci	ci	1	
stava	stava	1	
bene	be~	0	interrupted
invece	invece	1	
stava	stava	1	
bene	bene	1	
_	sì	0	MISS
no	no	1	
comunque	comunque	1	
