whisper	human	match	error
anche	anche	1	
secondo	secondo	1	
me	me	1	
_	più	0	MISS
e	_	0	ADD
_	bolognese	0	MISS
invece	invece	1	
il	il	1	
tuo	tuo	1	
posto	posto	1	
del	del	1	
cuore	cuore	1	
di	di	1	
bologna	bologna	1	
non	non	1	
so	so	1	
anche	anche	1	
solo	solo	1	
un	un	1	
bar	bar	1	
a	a	1	
cui	cui	1	
sei	sei	1	
particolarmente	particolarmente	1	
affezionata	affezionata	1	
_	mhmh	0	MISS
_	mh	0	MISS
_	eh	0	MISS
forse	forse	1	
_	mh	0	MISS
mangiare	mangiare	1	
un	un	1	
gelato	gelato	1	
seduti	seduti	1	
sul	_	0	err_genere, err_numero
_	sulle	0	err_genere, err_numero
gradino	_	0	err_genere, err_numero
_	gradine	0	err_genere, err_numero
di	di	1	
piazza	piazza	1	
santo	santo	1	
stefano	stefano	1	
_	{ride}	0	nonverbal
_	ah	0	err_interiezione
eh	_	0	err_interiezione
_	lì	0	MISS
è	è	1	
bellissimo	bellissimo	1	
_	piazza	0	MISS
perché	_	0	ADD
_	di	0	MISS
piazza	piazza	1	
santo	santo	1	
stefano	stefano	1	
mi	mi	1	
piace	piace	1	
molto	molto	1	
poi	poi	1	
_	c'	1	
_	è	1	
_	di	0	MISS
c'è	_	1	
_	fianco	0	MISS
la	la	1	
mia	mia	1	
giardina	_	0	parola sconosciuta
_	gelateria	0	parola sconosciuta
preferita	preferita	1	
_	e	0	MISS
quindi	quindi	1	
spesso	spesso	1	
_	d'	1	
d'estate	_	1	
_	estate	1	
con	con	1	
_	il	0	MISS
_	mio	0	err_genere
mia	_	0	err_genere
_	ragazzo	0	err_genere
ragazza	_	0	err_genere
_	andiamo	0	MISS
andiamo	andiamo	1	
lì	lì	1	
prendiamo	prendiamo	1	
un	un	1	
gelato	gelato	1	
e	e	1	
ci	ci	1	
sediamo	sediamo	1	
in	in	1	
piazza	piazza	1	
santo	santo	1	
stefano	stefano	1	
forse	forse	1	
quello	quello	1	
sì	sì	1	
_	bello	0	MISS
_	bellissimo	0	MISS
e	e	1	
in	in	1	
generale	generale	1	
bologna	bologna	1	
_	{P}	0	nonverbal
_	la	0	MISS
ritieni	ritieni	1	
che	che	1	
sia	sia	1	
una	una	1	
bella	bella	1	
città	città	1	
in	in	1	
cui	cui	1	
vivere	vivere	1	
sì	sì	1	
_	si	0	MISS
_	si	0	MISS
sì	_	0	typo
_	si	0	typo
secondo	secondo	1	
me	me	1	
è	è	1	
una	una	1	
bella	bella	1	
città	città	1	
in	in	1	
cui	cui	1	
vivere	vivere	1	
_	eh	0	MISS
_	mh	0	MISS
non	non	1	
so	so	1	
se	se	1	
infatti	_	0	ADD
anche	_	0	ADD
_	{P}	0	nonverbal
ci	_	0	ADD
_	poterci	0	MISS
vivrei	_	0	flessione
_	vivere	0	flessione
forse	forse	1	
con	con	1	
una	una	1	
famiglia	famiglia	1	
_	emh	0	MISS
_	l-	0	interrupted
_	okay	0	MISS
quindi	quindi	1	
_	un	0	MISS
_	po'	0	MISS
per	per	1	
giovani	giovani	1	
magari	magari	1	
sì	sì	1	
_	secondo	0	MISS
_	me	0	MISS
è	è	1	
una	una	1	
città	città	1	
più	più	1	
per	per	1	
giovani	giovani	1	
per	per	1	
studenti	studenti	1	
perché	perché	1	
_	mh	0	MISS
sì	sì	1	
ci	ci	1	
sono	sono	1	
molte	molte	1	
attività	attività	1	
_	che	0	MISS
per	_	0	ADD
_	puoi	0	MISS
fare	fare	1	
poi	poi	1	
sicuramente	sicuramente	1	
ci	ci	1	
sono	sono	1	
cose	cose	1	
anche	anche	1	
_	per	0	MISS
per	per	1	
le	le	1	
famiglie	famiglie	1	
chiaramente	chiaramente	1	
però	però	1	
mi	mi	1	
sembra	sembra	1	
un	un	1	
po'	po'	1	
più	più	1	
a	a	1	
misura	misura	1	
_	di	0	MISS
di	di	1	
_	giovani	0	err_numero
_	mhmh	0	MISS
giovane	_	0	err_numero
_	che	0	MISS
che	che	1	
famiglia	famiglia	1	
e	e	1	
per	per	1	
esempio	esempio	1	
i	i	1	
suoi	suoi	1	
punti	punti	1	
forti	forti	1	
secondo	secondo	1	
te	te	1	
quali	quali	1	
sono	sono	1	
ah	ah	1	
i	i	1	
punti	punti	1	
forti	forti	1	
sicuramente	sicuramente	1	
_	mh	0	MISS
la	la	1	
storia	storia	1	
cioè	cioè	1	
_	l'	1	
_	architettura	1	
l'architettura	_	1	
_	il	0	MISS
il	il	1	
centro	centro	1	
storico	storico	1	
_	eh	0	approssimazione
è	_	0	approssimazione
_	mhmh	0	MISS
proprio	proprio	1	
pieno	_	0	err_genere
_	piena	0	err_genere
di	di	1	
_	mh	0	MISS
_	dalle	0	MISS
planetori	_	0	parola sconosciuta
_	torri	0	parola sconosciuta
a	a	1	
san	san	1	
petronio	petronio	1	
_	insomma	0	MISS
è	è	1	
proprio	proprio	1	
bella	bella	1	
a	a	1	
livello	livello	1	
secondo	secondo	1	
me	me	1	
architettonico	architettonico	1	
storico	storico	1	
e	_	0	approssimazione
_	eh	0	approssimazione
poi	poi	1	
la	la	1	
vita	vita	1	
_	{P}	0	nonverbal
_	c'	1	
c'è	_	1	
_	è	1	
sempre	sempre	1	
un	un	1	
sacco	sacco	1	
di	di	1	
cose	cose	1	
da	da	1	
fare	fare	1	
se	se	1	
in	_	0	ADD
_	x	0	unintelligible
chienesci	_	0	parola sconosciuta
_	esci	0	parola sconosciuta
è	è	1	
pieno	pieno	1	
di	di	1	
gente	gente	1	
in	in	1	
centro	centro	1	
_	in	0	MISS
_	tutti	0	MISS
più	_	0	ADD
_	i	0	MISS
locali	locali	1	
_	dopo	0	MISS
_	se	0	MISS
_	è	0	MISS
_	VERO	0	MISS
_	eh	0	MISS
più	_	0	approssimazione
_	poi	0	approssimazione
ospiti	_	0	approssimazione
_	senti	0	approssimazione
che	che	1	
arriva	arriva	1	
_	è	0	MISS
molto	molto	1	
vissuta	vissuta	1	
come	come	1	
città	città	1	
_	eh	0	MISS
poi	poi	1	
c'è	_	0	err_numero
_	vabbè	0	MISS
un	_	0	err_numero
_	ci	0	err_numero
concerto	_	0	err_numero
_	sono	0	err_numero
il	_	0	err_numero
_	concerti	0	err_numero
stadio	stadio	1	
cioè	cioè	1	
ci	ci	1	
sono	sono	1	
tante	tante	1	
cose	cose	1	
da	da	1	
fare	fare	1	
_	se	0	MISS
_	se	0	MISS
_	vuoi	0	MISS
se	se	1	
vuoi	vuoi	1	
viverla	viverla	1	
quindi	quindi	1	
secondo	secondo	1	
me	me	1	
queste	queste	1	
sono	sono	1	
un	un	1	
po'	po'	1	
e	_	0	ADD
_	i	0	MISS
mezzi	mezzi	1	
di	di	1	
trasporto	trasporto	1	
anche	anche	1	
_	eh	0	MISS
_	i	0	MISS
mezzi	mezzi	1	
di	di	1	
trasporto	trasporto	1	
vi	_	0	ADD
_	come	0	MISS
dicevo	dicevo	1	
se	se	1	
sei	sei	1	
in	in	1	
centro	centro	1	
_	s-	0	interrupted
dentro	dentro	1	
alle	alle	1	
mura	mura	1	
_	mh	0	MISS
vai	vai	1	
in	in	1	
bicicletta	bicicletta	1	
vai	vai	1	
ai	_	0	approssimazione
_	a	0	approssimazione
piedi	piedi	1	
ovunque	ovunque	1	
bene	_	0	approssimazione
o	_	0	approssimazione
male	_	0	approssimazione
_	menomale	0	approssimazione
anche	anche	1	
_	l'	1	
l'autobus	_	1	
_	autobus	1	
secondo	secondo	1	
me	me	1	
funzionano	_	0	err_numero
_	funziona	0	err_numero
abbastanza	abbastanza	1	
bene	bene	1	
