whisper	human	match	error
mettere	mettere	1	
il	il	1	
sale	sale	1	
nel	nel	1	
condimento	condimento	1	
della	nella	0	approssimazione
pasta	pasta	1	
però	però	1	
non	non	1	
salare	salare	1	
_	l'	1	
l'acqua	_	1	
_	acqua	1	
quando	quando	1	
la	la	1	
bolli	bolli	1	
è	è	1	
illegale	illegale	1	
_	cazzo	0	MISS
_	eh	0	MISS
_	no	0	MISS
esatto	esatto	1	
è	è	1	
illegale	illegale	1	
_	eh	0	MISS
lo	lo	1	
so	so	1	
ma	ma	1	
_	t-	0	interrupted
vi	vi	1	
giuro	giuro	1	
che	che	1	
io	io	1	
sento	sento	1	
ormai	ormai	1	
sempre	sempre	1	
salato	salato	1	
potete	pure se	0	approssimazione
_	ci	0	MISS
mettere	metti	0	err_flessione
		1	
un	un	1	
pizzico	pizzico	1	
io	io	1	
non	non	1	
ce	ce	1	
_	la	0	MISS
faccio	faccio	1	
a	a	1	
mangiarla	mangiarlo	0	err_genere
non	non	1	
so	so	1	
quante	quante	1	
volte	volte	1	
li	_	0	ADD
dico	_	0	ADD
_	ho	0	MISS
a	_	0	ADD
_	litigato	0	MISS
mia	_	0	ADD
_	con	0	MISS
mamma	mamma	1	
va beh	vabbé	0	grafia
meglio	meglio	1	
così	così	1	
perché	perché	1	
la	la	1	
sento	sento	1	
oggettivamente	oggettivamente	1	
salata	salata	1	
io	io	1	
comunque	comunque	1	
non	non	1	
so	so	1	
voi	voi	1	
_	ma	0	MISS
_	ho	0	MISS
ancora	ancora	1	
fame	fame	1	
voi	voi	1	
io	io	1	
non	non	1	
in	_	0	ADD
particolare me	particolarmente	0	approssimazione
ma	ma	1	
non	_	0	ADD
ti	vi	0	err_persona
_	va	0	MISS
invoiti	_	0	ADD
_	di	0	MISS
queste	queste	1	
melanzanette	melanzanette	1	
provolone	provolone	1	
tagliato	tagliato	1	
a	a	1	
cubetti	cubetti	1	
e	e	1	
due	due	1	
fettine	fettine	1	
di	di	1	
pane	pane	1	
tagliate	_	0	ADD
_	fatte	0	MISS
a	a	1	
cubetti	cubetti	1	
salta	saltate	0	err_flessione
dei	_	0	ADD
_	in	0	MISS
padella	padella	1	
che	che	1	
l'	le	0	err_numero
ho	ho	1	
fatto	fatte	0	err_numero
tipo	tipo	1	
crostino	crostino	1	
_	mh	0	MISS
basta	basta	1	
_	que-	0	interrupted
ah	ah	1	
_	{P}	0	nonverbal
_	e	0	MISS
_	una	0	MISS
è	e	0	approssimazione
una	una	1	
carota	carota	1	
che	che	1	
_	l'	1	
l'ho	_	1	
_	ho	1	
tagliata	tagliata	1	
piccolina	piccolina	1	
piccolina	piccolina	1	
_	oh	0	MISS
_	x	0	unintelligible
no	no	1	
secondo	secondo	1	
me	me	1	
la	la	1	
carota	carota	1	
non	non	1	
ci	ci	1	
stava	sta	0	err_flessione
bene	be-	0	interrupted
invece	_	0	ADD
_	x	0	unintelligible
stava	stava	1	
bene	bene	1	
_	sì	0	MISS
no	no	1	
comunque	comunque	1	
