whisper	human	match	error
io	io	1	
non	non	1	
ce	ce	1	
_	la	0	MISS
faccio	faccio	1	
a	a	1	
mangiarla	mangiarla	1	
non	non	1	
so	so	1	
quante	quante	1	
volte	volte	1	
li	lo	0	err_numero
dico	dico	1	
a	a	1	
mia	tua	0	err_persona
mamma	mamma	1	
va	va	1	
beh	beh	1	
meglio	meglio	1	
così	così	1	
perché	perché	1	
la	la	1	
sento	sento	1	
oggettivamente	oggettivamente	1	
salata	salata	1	
io	io	1	
comunque	comunque	1	
non	non	1	
so	so	1	
voi	voi	1	
ancora	ancora	1	
fame	fame	1	
voi	voi	1	
io	io	1	
non	non	1	
in	_	0	ADD
particolare me	particolarmen-	0	interrupted
_	io	0	MISS
_	no	0	MISS
ma	ma	1	
non	non	1	
ti	ti	1	
invoiti	_	0	ADD
_	xxi	0	unintelligible
queste	queste	1	
melanzanette	melanzanette	1	
una	una	1	
bugia	bugia	1	
_	in	0	MISS
_	vita	0	MISS
_	mia	0	MISS
_	a	0	MISS
_	te	0	MISS
_	llora	0	MISS
_	{P}	0	nonverbal
ho	ho	1	
messo	messo	1	
mezza	mezza	1	
_	{P}	0	nonverbal
cosa	cosa	1	
di	di	1	
iceberg	iceberg	1	
poi	poi	1	
ci	ci	1	
ho	ho	1	
messo	messo	1	
quattro	quattro	1	
fette	fette	1	
_	contate	0	MISS
di	di	1	
salame	salame	1	
tagliate	tagliate	1	
a	a	1	
cubetti	cubetti	1	
_	{P}	0	nonverbal
mezzo	mezzo	1	
pezzo	pezzo	1	
_	di	0	MISS
_	auricchio	0	MISS
_	{ride}	0	nonverbal
_	cioè	0	MISS
di	di	1	
provolone	provolone	1	
tagliato	tagliato	1	
a	a	1	
cubetti	cubetti	1	
e	e	1	
due	due	1	
fettine	fettine	1	
di	di	1	
pane	pane	1	
tagliate	_	0	ADD
_	fatte	0	MISS
a	a	1	
cubetti	cubetti	1	
salta	saltate	0	err_flessione
dei	_	0	ADD
_	in	0	MISS
padella	padella	1	
che	che	1	
l'	le	0	err_numero
ho	ho	1	
fatto	fatte	0	err_numero
tipo	tipo	1	
crostino	crostino	1	
_	mh	0	MISS
basta	basta	1	
_	que-	0	interrupted
ah	ah	1	
_	{P}	0	nonverbal
_	e	0	MISS
_	una	0	MISS
è	e	0	approssimazione
una	una	1	
carota	carota	1	
che	che	1	
_	l'	1	
l'ho	_	1	
_	ho	1	
tagliata	tagliata	1	
piccolina	piccolina	1	
piccolina	piccolina	1	
_	oh	0	MISS
_	x	0	unintelligible
no	no	1	
secondo	secondo	1	
me	me	1	
la	la	1	
carota	carota	1	
non	non	1	
ci	ci	1	
stava	sta	0	err_flessione
bene	be-	0	interrupted
invece	_	0	ADD
_	x	0	unintelligible
stava	stava	1	
bene	bene	1	
_	sì	0	MISS
no	no	1	
comunque	comunque	1	
