whisper	human	match	error
perché	perché	1	
praticamente	praticamente	1	
_	la	0	MISS
non	_	0	ADD
_	nonna	0	MISS
abbiamo	_	0	ADD
_	ha	0	MISS
comprato	comprato	1	
questi	questi	1	
gelati	gelati	1	
pan	pan	1	
di	di	1	
stelle	stelle	1	
che	che	1	
erano	erano	1	
quelli da	qualità	0	approssimazione
tipo	tipo	1	
a	a	1	
biscotto	biscotto	1	
che	che	1	
ce	ce	1	
ne	n'	0	elisione
erano	erano	1	
due	due	1	
in	in	1	
una	una	1	
_	bustina	0	MISS
_	x	0	unintelligible
_	ne	0	MISS
_	avete	0	MISS
_	fatto	0	MISS
_	x	0	unintelligible
io	o	0	approssimazione
ho	ho	1	
detto	detto	1	
voglio	voglio	1	
questo	questo	1	
però	però	1	
voglio	voglio	1	
anche	anche	1	
quello	quello	1	
al	al	1	
caramello	caramello	1	
_	{P}	0	nonverbal
quindi	quindi	1	
ho	ho	1	
mangiato	mangiato	1	
uno	uno	1	
di	di	1	
quelli	quelli	1	
io	_	0	ADD
_	e	0	MISS
ho	ho	1	
dato	dato	1	
_	l'	1	
l'altro	_	1	
_	altro	1	
a	a	1	
lui	lui	1	
e	e	1	
ho	ho	1	
mangiato	mangiato	1	
quello	quello	1	
al	al	1	
caramello	caramello	1	
la	la	1	
stessa	stessa	1	
quantità	quantità	1	
che	_	1	
_	cche	1	
ha	ha	1	
mangiato	mangiato	1	
lui	lui	1	
uguale	uguale	1	
identico	identico	1	
quindi	quindi	1	
_	adesso	0	MISS
la	la	1	
cosa	cosa	1	
che	che	1	
adesso	_	0	ADD
io	io	1	
sono	sono	1	
il	il	1	
porco	porco	1	
e	e	1	
tu	tu	1	
no	no	1	
_	{P}	0	nonverbal
lasciamo	lasciamo	1	
stare	stare	1	
_	vabbuò	0	MISS
_	poi	0	MISS
in	in	1	
generale	generale	1	
per	per	1	
una	una	1	
giornata	giornata	1	
_	eh	0	MISS
c'	ch'	0	approssimazione
è	è	1	
stata	stato	0	err_genere
tanto	tanto	1	
cibo	cibo	1	
un	un	1	
po'	po'	1	
chiatto	chiatto	1	
ma	ma	1	
è	è	1	
domenica	domenica	1	
è	è	1	
festa	festa	1	
_	{P}	0	nonverbal
lo	lo	1	
sanno	sanno	1	
tutti	tutti	1	
_	eh	0	MISS
_	lo	0	MISS
_	so	0	MISS
_	però	0	MISS
_	mh	0	MISS
chiediamolo	chiediamolo	1	
al	al	1	
diabetto	diabete	0	parola sconosciuta
di	di	1	
terzo	terzo	1	
tipo	tipo	1	
che	che	1	
_	avremo	0	MISS
_	tra	0	MISS
_	un	0	MISS
_	paio	0	MISS
_	di	0	MISS
_	anni	0	MISS
_	{sgranocchia_qualcosa}	0	nonverbal
aveva	_	0	ADD
_	{ride}	0	nonverbal
montrato	_	0	ADD
_	tra	0	MISS
un	un	1	
paio	paio	1	
di	di	1	
_	anni	0	MISS
_	si	0	MISS
_	perché	0	MISS
_	tutti	0	MISS
_	i	0	MISS
_	giorni	0	MISS
_	mangio	0	MISS
_	così	0	MISS
_	ovviamente	0	MISS
agli	_	0	ADD
_	si	0	MISS
perché	perché	1	
tutti	tutti	1	
i	i	1	
giorni	giorni	1	
mangio	mangio	1	
così	così	1	
ovviamente	ovviamente	1	
_	{sospira}	0	nonverbal
_	x	0	unintelligible
_	allo-	0	interrupted
_	che	0	MISS
nervosamente	nervosamente	1	
mi	mi	1	
fa	fa	1	
venire	venire	1	
vabbè	_	0	ADD
ti	_	0	ADD
hai	avete	0	err_flessione
mangiato	mangiato	1	
_	l'	1	
l'insalata	_	1	
_	insalata	1	
ieri	ieri	1	
_	eh	0	MISS
ieri	ieri	1	
ho	ho	1	
mangiato	mangiato	1	
_	l'	1	
_	insalatina	1	
l'insalatina	_	1	
_	{ride}	0	nonverbal
doveva	_	0	ADD
_	no	0	MISS
non	non	1	
mi	mi	1	
guardare	guardare	1	
così	così	1	
che	che	1	
ho	ho	1	
detto	detto	1	
_	sapere	0	MISS
_	che	0	MISS
devo	_	0	ADD
_	c'	0	MISS
mettere	_	0	ADD
_	era	0	MISS
voglio	_	0	ADD
_	l'	0	MISS
dentro	_	0	ADD
_	insalatina	0	MISS
ci	c'	0	elisione
erano	erano	1	
i	i	1	
cubetti	cubetti	1	
_	{P}	0	nonverbal
di	di	1	
provolone	provolone	1	
_	e	0	MISS
il	i	0	err_numero
cubetti	cubetti	1	
di	di	1	
_	sa-	0	interrupted
_	ti	0	MISS
sembra	sembra	1	
_	un'	1	
un'insalatina	_	1	
_	insalatina	1	
questa	questa	1	
_	x	0	unintelligible
_	dentro	0	MISS
_	cioe	0	MISS
_	di	0	MISS
_	formaggio	0	MISS
_	e	0	MISS
_	di	0	MISS
_	salame	0	MISS
è	_	0	ADD
_	vabbé	0	MISS
VERO	però	0	approssimazione
non	non	1	
è	è	1	
che	che	1	
è	è	1	
assaggerato	esagerato	0	parola sconosciuta
sono	sono	1	
degli	degli	1	
affettati	affettati	1	
con	con	1	
l'	l'	1	
insalato	nsalata	0	err_genere
_	cioè	0	MISS
un	un	1	
pranzo	pranzo	1	
_	mh	0	MISS
non	_	0	ADD
_	allora	0	MISS
è	_	0	ADD
_	miri	0	MISS
che	_	0	ADD
_	neppure	0	MISS
non	non	1	
troppo	troppo	1	
_	e	0	MISS
_	lo	0	MISS
_	giuro	0	MISS
_	{P}	0	nonverbal
ti	ti	1	
fidi	fidi	1	
di	di	1	
me	me	1	
quando	quando	1	
ti	ti	1	
dico	dico	1	
una	una	1	
cosa	cosa	1	
_	cioè	0	MISS
_	non	0	MISS
_	di-	0	interrupted
non	non	1	
ti	ti	1	
ho	ho	1	
mai	mai	1	
detto	detto	1	
una	una	1	
bugia	bugia	1	
_	in	0	MISS
_	vita	0	MISS
_	mia	0	MISS
_	a	0	MISS
_	te	0	MISS
_	llora	0	MISS
_	{P}	0	nonverbal
ho	ho	1	
messo	messo	1	
mezza	mezza	1	
_	{P}	0	nonverbal
cosa	cosa	1	
di	di	1	
iceberg	iceberg	1	
poi	poi	1	
ci	ci	1	
ho	ho	1	
messo	messo	1	
quattro	quattro	1	
fette	fette	1	
_	contate	0	MISS
di	di	1	
salame	salame	1	
tagliate	tagliate	1	
a	a	1	
cubetti	cubetti	1	
_	{P}	0	nonverbal
mezzo	mezzo	1	
pezzo	pezzo	1	
_	di	0	MISS
_	auricchio	0	MISS
_	{ride}	0	nonverbal
_	cioè	0	MISS
di	di	1	
provolone	provolone	1	
tagliato	tagliato	1	
a	a	1	
cubetti	cubetti	1	
e	e	1	
due	due	1	
fettine	fettine	1	
di	di	1	
pane	pane	1	
tagliate	_	0	ADD
_	fatte	0	MISS
a	a	1	
cubetti	cubetti	1	
salta	saltate	0	err_flessione
dei	_	0	ADD
_	in	0	MISS
padella	padella	1	
che	che	1	
l'	le	0	err_numero
ho	ho	1	
fatto	fatte	0	err_numero
tipo	tipo	1	
crostino	crostino	1	
_	mh	0	MISS
basta	basta	1	
_	que-	0	interrupted
ah	ah	1	
_	{P}	0	nonverbal
_	e	0	MISS
_	una	0	MISS
è	e	0	approssimazione
una	una	1	
carota	carota	1	
che	che	1	
_	l'	1	
l'ho	_	1	
_	ho	1	
tagliata	tagliata	1	
piccolina	piccolina	1	
piccolina	piccolina	1	
_	oh	0	MISS
_	x	0	unintelligible
no	no	1	
secondo	secondo	1	
me	me	1	
la	la	1	
carota	carota	1	
non	non	1	
ci	ci	1	
stava	sta	0	err_flessione
bene	be-	0	interrupted
invece	_	0	ADD
_	x	0	unintelligible
stava	stava	1	
bene	bene	1	
_	sì	0	MISS
no	no	1	
comunque	comunque	1	
