0	bene	bene	1
926	hai	_	0
927	avuto	_	0
928	problemi	_	0
929	a	_	0
930	trovare	_	0
931	casa	_	0
932	perché	_	0
933	anche	_	0
934	lei	_	0
935	tutti	_	0
936	quanti	_	0
937	guarda	_	0
938	che	_	0
939	un'utile	_	0
940	faile	_	0
941	a	_	0
942	questa	_	0
943	domanda	_	0
944	è	_	0
945	tutti	_	0
946	quanti	_	0
947	tutti	_	0
948	quanti	_	0
949	e	_	0
950	c'è	_	0
951	stato	_	0
952	qualche	_	0
953	che	_	0
954	hanno	_	0
955	soldi	_	0
956	e	_	0
957	compra	_	0
958	appartamento	_	0
959	per	_	0
960	il	_	0
961	fili	_	0
962	per	_	0
963	mandare	_	0
964	in	_	0
965	bologna	_	0
966	per	_	0
967	studiare	_	0
968	che	_	0
969	è	_	0
970	l'unico	_	0
971	modo	_	0
972	è	_	0
973	l'unico	_	0
974	modo	_	0
975	è	_	0
976	l'unico	_	0
977	modo	_	0
978	sì	_	0
979	sì	_	0
980	perché	_	0
981	dove	_	0
982	abitavo	_	0
983	io	_	0
984	prima	_	0
985	non	_	0
986	in	_	0
987	specifico	_	0
988	però	_	0
989	in	_	0
990	centro	_	0
991	bologna	_	0
992	che	_	0
993	è	_	0
994	il	_	0
995	morto	_	0
996	proprietario	_	0
997	poi	_	0
998	il	_	0
999	fili	_	0
1000	hanno	_	0
1001	venduto	_	0
1002	l'appartamento	_	0
1003	da	_	0
1004	una	_	0
1005	persona	_	0
1006	che	_	0
1007	da	_	0
1008	salerno	_	0
1009	che	_	0
1010	lui	_	0
1011	ha	_	0
1012	comprato	_	0
1013	per	_	0
1014	il	_	0
1015	suo	_	0
1016	fili	_	0
1017	che	_	0
1018	devono	_	0
1019	venire	_	0
1020	e	_	0
1021	studiare	_	0
1022	in	_	0
1023	bologna	_	0
1024	in	_	0
1025	università	_	0
1026	di	_	0
1027	bologna	_	0
1028	allora	_	0
1029	dopo	_	0
1030	quando	_	0
1031	c'è	_	0
1032	il	_	0
1033	tempo	_	0
1034	cioè	_	0
1035	io	_	0
1036	devo	_	0
1037	lasciare	_	0
1038	casa	_	0
1039	ho	_	0
1040	cercato	_	0
1041	due	_	0
1042	anni	_	0
1043	in	_	0
1044	bologna	_	0
1045	c'è	_	0
1046	ancora	_	0
1047	e	_	0
1048	sto	_	0
1049	cercando	_	0
1050	altri	_	0
1051	due	_	0
1052	anni	_	0
1053	come	_	0
1054	matto	_	0
1055	che	_	0
1056	non	_	0
1057	lo	_	0
1058	trovo	_	0
1059	appartamento	_	0
1060	in	_	0
1061	bologna	_	0
1062	allora	_	0
1063	ho	_	0
1064	trasferito	_	0
1065	valsamozio	_	0
1066	ok	_	0
1067	beh	_	0
1068	da	_	0
1069	20	_	0
1070	km	_	0
1071	lo	_	0
1072	faccio	_	0
1073	ogni	_	0
1074	giorno	_	0
1075	avanti	_	0
1076	indietro	_	0
1077	se	_	0
1078	vado	_	0
1079	il	_	0
1080	treno	_	0
1081	con	_	0
1082	il	_	0
1083	tutto	_	0
1084	traffico	_	0
1085	ci	_	0
1086	vuole	_	0
1087	un'ora	_	0
1088	e	_	0
1089	mezza	_	0
1090	ma	_	0
1091	ma	_	0
1092	così	_	0
1093	tanto	_	0
1094	eh	_	0
1095	così	_	0
1096	tanto	_	0
1097	perché	_	0
1098	la	_	0
1099	mattina	_	0
1100	alle	_	0
1101	9	_	0
1102	ci	_	0
1103	sono	_	0
1104	bel	_	0
1105	traffico	_	0
1106	dalle	_	0
1107	8	_	0
1108	per	_	0
1109	arrivare	_	0
1110	qui	_	0
1111	ci	_	0
1112	vuole	_	0
1113	un'ora	_	0
1114	proprio	_	0
1115	quindi	_	0
1116	come	_	0
1117	ti	_	0
1118	sposti	_	0
1119	per	_	0
1120	venire	_	0
1121	comunque	_	0
1122	in	_	0
1123	macchina	_	0
1124	beh	_	0
1125	sì	_	0
1126	sì	_	0
1127	alla	_	0
1128	fine	_	0
1129	con	_	0
1130	la	_	0
1131	macchina	_	0
1132	un'ora	_	0
1133	un'ora	_	0
1134	e	_	0
1135	mezza	_	0
1136	la	_	0
1137	mattina	_	0
1138	se	_	0
1139	vengo	_	0
1140	il	_	0
1141	treno	_	0
1142	devo	_	0
1143	alzare	_	0
1144	alle	_	0
1145	6	_	0
1146	sei	_	0
1147	e	_	0
1148	mezza	_	0
1149	per	_	0
1150	aprire	_	0
1151	il	_	0
1152	negozio	_	0
1153	alle	_	0
1154	9	_	0
1155	allora	_	0
1156	poi	_	0
1157	però	_	0
1158	se	_	0
1159	prendi	_	0
1160	la	_	0
1161	macchina	_	0
1162	come	_	0
1163	fai	_	0
1164	qui	_	0
1165	a	_	0
1166	parcheggiare	_	0
1167	in	_	0
1168	centro	_	0
1169	eh	_	0
1170	a	_	0
1171	parcheggiare	_	0
1172	devi	_	0
1173	comprare	_	0
1174	abbonamenti	_	0
1175	così	_	0
1176	che	_	0
1177	in	_	0
1178	giro	_	0
1179	ti	_	0
1180	trovi	_	0
1181	non	_	0
1182	è	_	0
1183	che	_	0
1184	non	_	0
1185	trovi	_	0
1186	trovi	_	0
1187	però	_	0
1188	è	_	0
1189	difficile	_	0
1190	cioè	_	0
1191	quindi	_	0
1192	c'è	_	0
1193	tipo	_	0
1194	un	_	0
1195	abbonamento	_	0
1196	e	_	0
1197	puoi	_	0
1198	si	_	0
1199	entrare	_	0
1200	in	_	0
1201	centro	_	0
1202	con	_	0
1203	la	_	0
1204	macchina	_	0
1205	si	_	0
1206	apparcheggiare	_	0
1207	beh	_	0
1208	no	_	0
1209	perché	_	0
1210	abbonamento	_	0
1211	è	_	0
1212	dato	_	0
1213	soltanto	_	0
1214	il	_	0
1215	parcheggio	_	0
1216	perché	_	0
1217	come	_	0
1218	io	_	0
1219	ho	_	0
1220	un	_	0
1221	negozio	_	0
1222	vado	_	0
1223	lo	_	0
1224	faccio	_	0
1225	già	_	0
1226	puoi	_	0
1227	già	_	0
1228	entrare	_	0
1229	sì	_	0
1230	entrata	_	0
1231	mi	_	0
1232	danno	_	0
1233	poi	_	0
1234	il	_	0
1235	parcheggio	_	0
1236	no	_	0
1237	il	_	0
1238	parcheggio	_	0
1239	devo	_	0
1240	pagare	_	0
1241	allora	_	0
1242	quando	_	0
1243	vengo	_	0
1244	vicino	_	0
1245	dove	_	0
1246	l'ho	_	0
1247	vieto	_	0
1248	che	_	0
1249	no	_	0
1250	ci	_	0
1251	sono	_	0
1252	5-6	_	0
1253	minuti	_	0
1254	10	_	0
1255	minuti	_	0
1256	di	_	0
1257	camminata	_	0
1258	allora	_	0
1259	io	_	0
1260	parcheggio	_	0
1261	subito	subito	1
1262	e	_	0
1263	sì	_	0
1264	sì	_	0
1265	sì	_	0
1266	io	_	0
1267	non	_	0
1268	ho	_	0
1269	la	_	0
1270	macchina	_	0
1271	perché	_	0
1272	sì	_	0
1273	ma	_	0
1274	guarda	_	0
1275	che	_	0
1276	in	_	0
1277	centro	_	0
1278	ha	_	0
1279	anche	_	0
1280	un	_	0
1281	altro	_	0
1282	problema	_	0
1283	del	_	0
1284	parcheggio	_	0
1285	che	_	0
1286	non	_	0
1287	si	_	0
1288	trova	_	0
1289	non	_	0
1290	si	_	0
1291	trova	_	0
1292	però	_	0
1293	alla	_	0
1294	fine	_	0
1295	la	_	0
1296	soluzione	_	0
1297	migliore	_	0
1298	è	_	0
1299	venire	_	0
1300	in	_	0
1301	macchina	_	0
1302	comunque	_	0
1303	beh	_	0
1304	sì	_	0
1305	anche	_	0
1306	il	_	0
1307	treno	_	0
1308	anche	_	0
1309	il	_	0
1310	treno	_	0
1311	anche	_	0
1312	il	_	0
1313	treno	_	0
1314	almeno	_	0
1315	c'è	_	0
1316	diciamo	_	0
1317	sì	_	0
1318	no	_	0
1319	guarda	_	0
1320	che	_	0
1321	il	_	0
1322	transporte	_	0
1323	ci	_	0
1324	sono	_	0
1325	soltanto	_	0
1326	che	_	0
1327	no	_	0
1328	un	_	0
1329	altro	_	0
1330	problema	_	0
1331	è	_	0
1332	iniziato	_	0
1333	dopo	_	0
1334	quando	_	0
1335	ho	_	0
1336	fatto	_	0
1337	il	_	0
1338	limite	_	0
1339	di	_	0
1340	30	_	0
1341	perché	_	0
1342	la	_	0
1343	macchina	_	0
1344	la	_	0
1345	peggiora	_	0
1346	è	_	0
1347	il	_	0
1348	limite	_	0
1349	di	_	0
1350	sicurezza	_	0
1351	guarda	_	0
1352	che	_	0
1353	la	_	0
1354	macchina	_	0
1355	cioè	_	0
1356	nessuno	_	0
1357	non	_	0
1358	si	_	0
1359	muove	_	0
1360	esempio	_	0
1361	da	_	0
1362	ceretolo	_	0
1363	se	_	0
1364	facciamo	_	0
1365	fino	_	0
1366	a	_	0
1367	centro	_	0
1368	san	_	0
1369	vitale	_	0
1370	facciamo	_	0
1371	così	_	0
1372	ci	_	0
1373	vuole	_	0
1374	un'ora	_	0
1375	ma	_	0
1376	è	_	0
1377	cambiata	_	0
1378	con	_	0
1379	bologna	_	0
1380	30	_	0
1381	o	_	0
1382	ci	_	0
1383	voleva	_	0
1384	lo	_	0
1385	stesso	_	0
1386	un'ora	_	0
1387	prima	_	0
1388	no	_	0
1389	e	_	0
1390	guarda	_	0
1391	che	_	0
1392	prima	_	0
1393	la	_	0
1394	macchina	_	0
1395	almeno	_	0
1396	si	_	0
1397	camminava	_	0
1398	adesso	_	0
1399	guarda	_	0
1400	che	_	0
1401	ferma	_	0
1402	tutti	_	0
1403	bloccati	_	0
1404	le	_	0
1405	ordine	_	0
1406	che	_	0
1407	noi	_	0
1408	facciamo	_	0
1409	il	_	0
1410	corriere	_	0
1411	dice	_	0
1412	guarda	_	0
1413	che	_	0
1414	per	_	0
1415	non	_	0
1416	riusciamo	_	0
1417	a	_	0
1418	fare	_	0
1419	la	_	0
1420	consegna	_	0
1421	è	_	0
1422	il	_	0
1423	limite	_	0
1424	della	_	0
1425	velocità	_	0
1426	che	_	0
1427	noi	_	0
1428	abbiamo	_	0
1429	una	_	0
1430	cioè	_	0
1431	proprio	_	0
1432	ci	_	0
1433	sono	_	0
1434	coda	_	0
1435	da	_	0
1436	fare	_	0
1437	che	_	0
