whisper;human;match;error
gelato;gelato;1;
seduti;seduti;1;
sul;sul;1;
gradino;gradino;1;
di;di;1;
piazza;piazza;1;
santo;santo;1;
stefano;stefano;1;
_;{ride};0;nonverbal
_;ah;0;MISS
eh;_;0;ADD
_;lì;0;MISS
è;è;1;
bellissimo;bellissimo;1;
perché;perché;1;
_;lì;0;MISS
piazza;piazza;1;
santo;santo;1;
stefano;stefano;1;
mi;mi;1;
piace;piace;1;
molto;molto;1;
poi;poi;1;
_;c';1;
_;è;1;
_;di;0;MISS
c'è;_;1;
_;fianco;0;MISS
la;la;1;
mia;mia;1;
giardina;_;0;parola sconosciuta
_;gelateria;0;parola sconosciuta
preferita;preferita;1;
_;e;0;MISS
quindi;quindi;1;
spesso;spesso;1;
_;d';1;
_;estate;1;
d'estate;_;1;
_;col;0;approssimazione
con;_;0;approssimazione
_;mio;0;err_genere
mia;_;0;err_genere
_;ragazzo;0;err_genere
ragazza;_;0;err_genere
_;andiamo;0;MISS
andiamo;andiamo;1;
lì;lì;1;
prendiamo;prendiamo;1;
un;un;1;
gelato;gelato;1;
e;e;1;
ci;ci;1;
sediamo;sediamo;1;
in;in;1;
piazza;piazza;1;
santo;santo;1;
stefano;stefano;1;
forse;forse;1;
quello;quello;1;
sì;sì;1;
_;bello;0;MISS
_;bellissimo;0;MISS
e;e;1;
in;in;1;
generale;generale;1;
bologna;bologna;1;
ritieni;ritieni;1;
che;che;1;
sia;sia;1;
una;una;1;
bella;bella;1;
città;città;1;
in;in;1;
cui;cui;1;
vivere;vivere;1;
_;sì;0;MISS
_;{P};0;nonverbal
sì;sì;1;
sì;sì;1;
secondo;secondo;1;
me;me;1;
è;è;1;
una;una;1;
bella;bella;1;
città;città;1;
in;in;1;
cui;cui;1;
vivere;vivere;1;
_;e;0;MISS
_;{P};0;nonverbal
_;mh;0;MISS
non;non;1;
so;so;1;
se;se;1;
infatti;_;0;ADD
_;{P};0;nonverbal
anche;_;0;ADD
_;effetivamente;0;MISS
ci;ci;1;
vivrei;vivrei;1;
forse;forse;1;
con;con;1;
una;una;1;
famiglia;famiglia;1;
_;okay;0;MISS
quindi;quindi;1;
_;più;0;MISS
per;per;1;
giovani;giovani;1;
magari;magari;1;
_;sìsecondo;0;MISS
sì;_;1;
_;me;0;MISS
è;è;1;
una;una;1;
città;città;1;
più;più;1;
per;per;1;
giovani;giovani;1;
per;per;1;
studenti;studenti;1;
perché;perché;1;
sì;sì;1;
ci;ci;1;
sono;sono;1;
molte;molte;1;
attività;attività;1;
_;anche;0;MISS
per;per;1;
fare;fare;1;
poi;poi;1;
sicuramente;sicuramente;1;
ci;ci;1;
sono;sono;1;
cose;cose;1;
anche;anche;1;
_;per;0;MISS
per;per;1;
le;le;1;
famiglie;famiglie;1;
chiaramente;chiaramente;1;
però;però;1;
mi;mi;1;
sembra;sembra;1;
un;un;1;
po';po';1;
più;più;1;
a;a;1;
misura;misura;1;
_;di;0;MISS
di;di;1;
giovane;giovane;1;
che;che;1;
_;di;0;MISS
famiglia;famiglia;1;
_;mhmh;0;MISS
e;e;1;
per;per;1;
esempio;esempio;1;
i;i;1;
suoi;suoi;1;
punti;punti;1;
forti;forti;1;
secondo;secondo;1;
te;te;1;
quali;quali;1;
sono;sono;1;
ah;ah;1;
_;{P};0;nonverbal
i;i;1;
punti;punti;1;
forti;forti;1;
sicuramente;sicuramente;1;
_;mh;0;MISS
la;la;1;
storia;storia;1;
cioè;cioè;1;
_;l';1;
_;architettura;1;
l'architettura;_;1;
_;e;0;MISS
il;il;1;
centro;centro;1;
storico;storico;1;
è;è;1;
proprio;proprio;1;
pieno;pieno;1;
di;di;1;
_;da;0;MISS
_;le;0;MISS
_;torri;0;parola sconosciuta
planetori;_;0;parola sconosciuta
_;mhmh;0;MISS
a;a;1;
san;san;1;
petronio;petronio;1;
_;insomma;0;MISS
è;è;1;
proprio;proprio;1;
bella;bella;1;
a;a;1;
livello;livello;1;
secondo;secondo;1;
me;me;1;
architettonico;architettonico;1;
storico;storico;1;
e;e;1;
poi;poi;1;
la;la;1;
vita;vita;1;
_;c';1;
c'è;_;1;
_;è;1;
sempre;sempre;1;
un;un;1;
sacco;sacco;1;
di;di;1;
cose;cose;1;
da;da;1;
fare;fare;1;
se;se;1;
in;_;0;ADD
_;anche;0;MISS
chienesci;_;0;parola sconosciuta
_;esci;0;parola sconosciuta
è;è;1;
pieno;pieno;1;
di;di;1;
gente;gente;1;
in;in;1;
centro;centro;1;
più;più;1;
locali;locali;1;
_;è;0;MISS
_;VERO;0;MISS
_;e;0;MISS
_;{P};0;nonverbal
più;_;0;ADD
_;lo;0;MISS
ospiti;_;0;approssimazione
_;senti;0;approssimazione
che;che;1;
arriva;arriva;1;
_;è;0;MISS
molto;molto;1;
vissuta;vissuta;1;
come;come;1;
città;città;1;
_;e;0;MISS
poi;poi;1;
c'è;_;0;err_numero
_;vabbè;0;MISS
un;_;0;err_numero
_;ci;0;err_numero
concerto;_;0;err_numero
_;sono;0;err_numero
il;_;0;ADD
_;concerti;0;err_numero
stadio;stadio;1;
cioè;cioè;1;
ci;ci;1;
sono;sono;1;
tante;tante;1;
cose;cose;1;
da;da;1;
fare;fare;1;
_;se;0;MISS
_;se;0;MISS
_;vuoi;0;MISS
se;se;1;
vuoi;vuoi;1;
viverla;viverla;1;
quindi;quindi;1;
secondo;secondo;1;
me;me;1;
queste;queste;1;
sono;sono;1;
un;un;1;
po';po';1;
e;e;1;
mezzi;mezzi;1;
di;di;1;
trasporto;trasporto;1;
anche;anche;1;
_;e;0;MISS
mezzi;mezzi;1;
di;di;1;
trasporto;trasporto;1;
vi;_;0;ADD
_;come;0;MISS
dicevo;dicevo;1;
se;se;1;
sei;sei;1;
in;in;1;
centro;centro;1;
dentro;dentro;1;
alle;alle;1;
mura;mura;1;
_;mh;0;MISS
vai;vai;1;
in;in;1;
bicicletta;bicicletta;1;
vai;vai;1;
ai;ai;1;
piedi;piedi;1;
ovunque;ovunque;1;
bene;bene;1;
o;o;1;
male;male;1;
anche;anche;1;
_;l';1;
_;autobus;1;
l'autobus;_;1;
_;{P};0;nonverbal
secondo;secondo;1;
me;me;1;
funzionano;funzionano;1;
abbastanza;abbastanza;1;
bene;bene;1;
