whisper;human;match;error
con;con;1;
un;un;1;
titolo;titolo;1;
di;di;1;
studio;studio;1;
estero;estero;1;
e;e;1;
insomma;insomma;1;
queste;queste;1;
cose;cose;1;
queste;queste;1;
cose;cose;1;
qui;qui;1;
principalmente;principalmente;1;
_;ehm;0;MISS
hai;hai;1;
sempre;sempre;1;
fatto;fatto;1;
questo;questo;1;
lavoro;lavoro;1;
oppure;oppure;1;
allora;allora;1;
dopo;dopo;1;
la;la;1;
laurea;laurea;1;
io;io;1;
mi;mi;1;
sono;_;0;elisione
_;son;0;elisione
laureato;_;0;err_genere
_;laureata;0;err_genere
nel;nel;1;
2017;_;1;
_;duemiladiciassette;1;
ho;ho;1;
fatto;fatto;1;
